"ContactAngle","meanE","Condition"
174.5976384,0.2,"WT"
167.4799898,0.2,"WT"
167.2847973,0.2,"WT"
165.5773487,0.2,"WT"
164.3376553,1,"WT"
152.5223466,0.2,"WT"
150.8848452,1,"WT"
149.050936,1,"WT"
147.3236659,1,"WT"
144.6271865,11.5,"WT"
143.9201856,1,"WT"
143.05182,1,"WT"
132.234111,1,"WT"
128.4525186,11.5,"WT"
118.8816808,24.43,"WT"
114.3553106,6.67,"WT"
114.3193252,5.34,"WT"
113.6473588,25.81,"WT"
112.8707657,6.67,"WT"
112.6942424,25.81,"WT"
112.4193017,24.43,"WT"
111.9053607,11.5,"WT"
111.7052929,25.81,"WT"
106.3405803,6.67,"WT"
105.193207,5.34,"WT"
99.2640381,5.34,"WT"
97.92781667,6.67,"WT"
90.16591773,11.5,"WT"
88.17394111,24.43,"WT"
85.87714777,24.43,"WT"
83.73505206,200,"WT"
81.46130277,5.34,"WT"
78.49252665,24.43,"WT"
73.8990299,24.43,"WT"
70.23943682,25.81,"WT"
56.14314627,200,"WT"
51.72663074,200,"WT"
40.49805723,200,"WT"
29.97021685,200,"WT"
28.37650976,200,"WT"
27.54060414,200,"WT"
26.116757,200,"WT"
23.57017255,200,"WT"
150.9199582,0.2,"Y27632"
153.0613847,0.2,"Y27632"
74.84015276,0.2,"Y27632"
103.3780533,0.2,"Y27632"
136.7143771,0.2,"Y27632"
136.9628747,0.2,"Y27632"
134.3557061,0.2,"Y27632"
123.9008591,0.2,"Y27632"
117.9667689,0.2,"Y27632"
107.3492166,0.2,"Y27632"
138.1088839,0.2,"Y27632"
28.09627029,6,"Y27632"
69.67063338,6,"Y27632"
78.40293193,6,"Y27632"
62.62831444,6,"Y27632"
75.70983936,6,"Y27632"
74.87637064,6,"Y27632"
71.37559797,6,"Y27632"
42.58191991,6,"Y27632"
44.0965482,6,"Y27632"
64.98272459,6,"Y27632"
67.90753009,6,"Y27632"
47.58885046,6,"Y27632"
86.82707752,24,"Y27632"
52.85345129,24,"Y27632"
82.60144671,24,"Y27632"
71.68731609,24,"Y27632"
76.55830885,24,"Y27632"
45.47309412,24,"Y27632"
54.55735404,24,"Y27632"
87.58385784,24,"Y27632"
82.96152402,24,"Y27632"
23.57447079,24,"Y27632"
69.97727771,24,"Y27632"
71.15281884,24,"Y27632"
64.46083926,24,"Y27632"
26.24186019,200,"Y27632"
23.49368333,200,"Y27632"
18.59138991,200,"Y27632"
14.26211788,200,"Y27632"
32.53909612,200,"Y27632"
17.26357337,200,"Y27632"
11.54076864,200,"Y27632"
25.5363593,200,"Y27632"
16.52398944,200,"Y27632"
21.85289307,200,"Y27632"
14.7335339,200,"Y27632"
18.84624222,200,"Y27632"
169.6872089,0.2,"Y27632"
146.9100212,0.2,"Y27632"
159.4753507,0.2,"Y27632"
160.5799798,0.2,"Y27632"
160.1646807,0.2,"Y27632"
147.3773065,0.2,"Y27632"
168.1582089,0.2,"Y27632"
165.1097228,0.2,"Y27632"
49.49970119,6,"Y27632"
97.0078124,6,"Y27632"
66.79529748,6,"Y27632"
90.28697364,6,"Y27632"
92.6578632,6,"Y27632"
29.78701404,6,"Y27632"
44.78019006,6,"Y27632"
72.70338971,6,"Y27632"
56.97115852,6,"Y27632"
63.57983671,6,"Y27632"
68.08816851,6,"Y27632"
27.92896274,24,"Y27632"
51.43507895,24,"Y27632"
47.10110787,24,"Y27632"
45.86734075,24,"Y27632"
22.55212797,24,"Y27632"
57.34075458,24,"Y27632"
48.69643481,24,"Y27632"
34.45572841,24,"Y27632"
43.28688466,24,"Y27632"
87.03405588,24,"Y27632"
48.17381024,24,"Y27632"
21.77915887,200,"Y27632"
22.00975632,200,"Y27632"
45.02286104,200,"Y27632"
40.4277961,200,"Y27632"
19.38363724,200,"Y27632"
71.23024866,200,"Y27632"
28.26354192,200,"Y27632"
18.90765365,200,"Y27632"
21.09145478,200,"Y27632"
161.7543824,0.2,"Y27632"
155.0745386,0.2,"Y27632"
109.3112709,0.2,"Y27632"
112.6588411,0.2,"Y27632"
139.8326499,0.2,"Y27632"
163.0621515,1,"Y27632"
105.9333714,1,"Y27632"
95.64470746,1,"Y27632"
87.40013699,1,"Y27632"
134.4156771,1,"Y27632"
100.4799651,1,"Y27632"
94.08670507,1,"Y27632"
84.22453038,1,"Y27632"
37.12688709,6,"Y27632"
66.39945958,6,"Y27632"
80.44241584,6,"Y27632"
62.69290847,6,"Y27632"
74.11625145,6,"Y27632"
82.00371656,6,"Y27632"
56.41811174,6,"Y27632"
47.22232757,6,"Y27632"
57.91179641,6,"Y27632"
54.66280192,6,"Y27632"
47.42303886,6,"Y27632"
37.76161908,24,"Y27632"
24.51289733,24,"Y27632"
59.61589835,24,"Y27632"
58.84234158,24,"Y27632"
61.54788056,24,"Y27632"
30.30450505,24,"Y27632"
49.03327342,24,"Y27632"
30.09471415,24,"Y27632"
37.03920241,24,"Y27632"
24.97813061,200,"Y27632"
19.69562966,200,"Y27632"
34.106623,200,"Y27632"
25.12625359,200,"Y27632"
21.96360701,200,"Y27632"
23.97835657,200,"Y27632"
27.08781955,200,"Y27632"
36.20670039,200,"Y27632"
34.66174039,200,"Y27632"
