Condition,Cell_Density
 GFP Ab,107.737
 GFP Ab,30.0436
 GFP Ab,33.88083
 GFP Ab,64.02153
 GFP Ab,129.7159
 GFP Ab,116.6304
 GFP Ab,65.79788
 GFP Ab,104.2425
 GFP Ab,91.20815
 GFP Ab,17.08714
 GFP Ab,1.376903
 GFP Ab,19.61522
 GFP Ab,124.7901
 GFP Ab,51.916
 GFP Ab,30.67558
 GFP Ab,16.70341
 GFP Ab,85.48082
 GFP Ab,19.90422
 GFP Ab,9.773751
 GFP Ab,16.43254
 GFP Ab,65.00786
 GFP Ab,20.22467
 GFP Ab,10.69921
 GFP Ab,32.02991
 GFP Ab,85.90969
 GFP Ab,65.47824
 GFP Ab,36.95065
 GFP Ab,42.16023
 GFP Ab,100.2873
 GFP Ab,50.10479
 GFP Ab,4.717584
 GFP Ab,33.65511
 GFP Ab,106.198
 GFP Ab,126.2587
 GFP Ab,85.93226
 GFP Ab,97.55693
 DECMA Ab,22.76458
 DECMA Ab,11.84007
 DECMA Ab,11.34869
 DECMA Ab,39.59159
 DECMA Ab,30.83359
 DECMA Ab,1.196325
 DECMA Ab,12.82099
 DECMA Ab,9.502885
 DECMA Ab,65.79788
 DECMA Ab,3.575859
 DECMA Ab,6.35767
 DECMA Ab,6.977897
 DECMA Ab,38.49237
 DECMA Ab,25.46141
 DECMA Ab,4.205941
 DECMA Ab,9.615746
 DECMA Ab,13.88189
 DECMA Ab,17.80944
 DECMA Ab,4.085667
 DECMA Ab,7.284528
 DECMA Ab,10.74435
 DECMA Ab,6.974802
 DECMA Ab,20.31946
 DECMA Ab,33.9025
 DECMA Ab,10.3832
 DECMA Ab,15.9811
 DECMA Ab,15.14416
 DECMA Ab,20.92066
 DECMA Ab,17.83202
 DECMA Ab,17.6063
 DECMA Ab,4.627295
 DECMA Ab,7.122403
 DECMA Ab,32.23306
 DECMA Ab,4.853017
 DECMA Ab,9.198493
 DECMA Ab,40.33647
