"Condition","meanTracZ"
"Baseline",24.5519363063713
"EGF",33.3069989058516
"Baseline",28.424649366087
"EGF",40.626463988427
"Baseline",28.7963021258116
"EGF",43.0904787834247
"Baseline",26.6496266732922
"EGF",55.4884897997078
"Baseline",30.0373026028054
"EGF",38.9018496654558
"Baseline",96.0059849776924
"EGF",128.921795640313
"Baseline",80.0455007439513
"EGF",91.243437665826
"Baseline",104.207383424066
"EGF",117.520961320609
"Baseline",71.0924730154866
"EGF",106.856391922812
"Baseline",68.0746585710685
"EGF",78.8165146561307
"Baseline",89.263634150031
"EGF",97.1283041339587
"Baseline",72.0500246311277
"EGF",88.5420102739672
"Baseline",62.5287856001471
"EGF",105.870486951358
