"rangeTheta","count","mean","Condition"
"(-3.14,-2.83]",1456,-2.98465086609272,"Gradient"
"(-2.83,-2.51]",1458,-2.67045383686579,"Gradient"
"(-2.51,-2.2]",1446,-2.35624242943039,"Gradient"
"(-2.2,-1.88]",1604,-2.04197908740359,"Gradient"
"(-1.88,-1.57]",1913,-1.72790541192584,"Gradient"
"(-1.57,-1.26]",1818,-1.41372689243469,"Gradient"
"(-1.26,-0.942]",1855,-1.09939875902846,"Gradient"
"(-0.942,-0.628]",2074,-0.78519524464073,"Gradient"
"(-0.628,-0.314]",2398,-0.471219960385459,"Gradient"
"(-0.314,0]",2356,-0.15712546672965,"Gradient"
"(0,0.314]",2503,0.157087115377451,"Gradient"
"(0.314,0.628]",2407,0.471233903133751,"Gradient"
"(0.628,0.942]",2244,0.785284382002897,"Gradient"
"(0.942,1.26]",2203,1.09953777900297,"Gradient"
"(1.26,1.57]",2067,1.41356634022069,"Gradient"
"(1.57,1.88]",1695,1.72798157266165,"Gradient"
"(1.88,2.2]",1727,2.04202666989399,"Gradient"
"(2.2,2.51]",1639,2.35587954397077,"Gradient"
"(2.51,2.83]",1505,2.67084358919679,"Gradient"
"(2.83,3.14]",1433,2.98441443193645,"Gradient"
"(-3.14,-2.83]",2793,-2.9844299370936,"Uniform"
"(-2.83,-2.51]",2947,-2.67030844549079,"Uniform"
"(-2.51,-2.2]",2828,-2.3562749360777,"Uniform"
"(-2.2,-1.88]",2670,-2.04212539574075,"Uniform"
"(-1.88,-1.57]",2709,-1.72787745703921,"Uniform"
"(-1.57,-1.26]",2695,-1.41366388304674,"Uniform"
"(-1.26,-0.942]",2818,-1.0994344557643,"Uniform"
"(-0.942,-0.628]",2835,-0.785388677305685,"Uniform"
"(-0.628,-0.314]",2699,-0.471226900535965,"Uniform"
"(-0.314,0]",2903,-0.157083988612332,"Uniform"
"(0,0.314]",2754,0.157019194869857,"Uniform"
"(0.314,0.628]",2919,0.471170356213697,"Uniform"
"(0.628,0.942]",2834,0.785453542657132,"Uniform"
"(0.942,1.26]",2865,1.09950287916608,"Uniform"
"(1.26,1.57]",2945,1.41375479673883,"Uniform"
"(1.57,1.88]",2727,1.72788263272299,"Uniform"
"(1.88,2.2]",2915,2.04218658655671,"Uniform"
"(2.2,2.51]",2887,2.35620506575803,"Uniform"
"(2.51,2.83]",2993,2.67027198875608,"Uniform"
"(2.83,3.14]",2803,2.98427952803901,"Uniform"
