"dens","breaks"
0.266581512553855,1.77804420478254
0.25362966979048,2.43721072076516
0.203788572006583,3.34074714308866
0.130119929634527,4.57924765346149
0.0631972789396905,6.27689201654017
0.0269285232828705,8.60389661553321
0.00971746009575644,11.7935814055294
0.0029905084233705,16.1657640234474
0.000927166446939801,22.1588266935829
0.000211577100428109,30.373671156158
6.899159979513e-05,41.6339688134118
3.4976595526365e-05,57.0687471476332
1.61814151473538e-05,78.2255930390992
1.36211533108478e-05,107.225823452698
9.93718454479962e-06,146.977181871442
2.65817922722296e-06,201.465386744274
1.7629542768887e-06,276.153764408965
3.85844023491056e-07,378.531036172691
1.87659257109801e-07,518.86218409022
