"meanE","diamAZ","ContactAngle"
0.2,96.1631313315024,174.5976384
0.2,64.2697474779954,167.4799898
0.2,118.98187693391,167.2847973
0.2,76.7880304225735,165.5773487
1,77.1808050931989,164.3376553
0.2,55.6966859587961,152.5223466
1,78.9515541935569,150.8848452
1,95.3959669966527,149.050936
1,74.0869220266037,147.3236659
11.5,98.7603834300848,144.6271865
1,89.2104876027567,143.9201856
1,129.44476428297,143.05182
1,158.298648000518,132.234111
11.5,81.0607520055242,128.4525186
24.43,70.4392446146213,118.8816808
6.67,41.8595213669373,114.3553106
5.34,96.7294114942431,114.3193252
25.81,69.8843944219158,113.6473588
6.67,97.4937231135588,112.8707657
25.81,76.413850525644,112.6942424
24.43,82.6140786306657,112.4193017
11.5,142.446909622574,111.9053607
25.81,118.479812545029,111.7052929
6.67,60.4481682325222,106.3405803
5.34,80.095608949032,105.193207
5.34,96.7395463960913,99.2640381
6.67,128.429329031587,97.92781667
11.5,66.1080944041229,90.16591773
24.43,85.0242500274164,88.17394111
24.43,90.8436336304212,85.87714777
200,79.7146974546254,83.73505206
5.34,145.661731995193,81.46130277
24.43,141.529743092224,78.49252665
24.43,126.238147404944,73.8990299
25.81,89.5723417109858,70.23943682
200,187.240608759269,56.14314627
200,192.394968132921,51.72663074
200,176.726549186188,40.49805723
200,260.610595091986,29.97021685
200,207.810040979224,28.37650976
200,189.109918689078,27.54060414
200,107.613273293709,26.116757
200,247.170162299782,23.57017255
